id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link
984653916112609281,2018-04-12,04:46:02,GMT,176490655,iLeonF,"En conjunto elegir el mejor, más no el menos peor, porque en este caso sí creo qué hay un candidato que sí puede hacer de Colombia un país ejemplar.#ElPaisDeLosJovenes",1,0,2,,['#ElPaisDeLosJovenes'],https://twitter.com/iLeonF/status/984653916112609281/
984653741260443648,2018-04-12,04:45:20,GMT,1129026835,Adan_Lopez24,"#ElPaísDeLosJóvenes conclusiones de los debates:Lleras usa su tiempo de ministro para hacer campaña con obras que salieron de recursos publicosDuque evade preguntas y todos lo peinan por deporteDe la calle y Fajardo, ambos demuestran su preparación y precisión para gobernar.",0,0,3,,['#ElPaísDeLosJóvenes'],https://twitter.com/Adan_Lopez24/status/984653741260443648/
984653732548874240,2018-04-12,04:45:18,GMT,223591229,espitiajdavid,"El mejor debate hasta ahora ha sido el de De La Calle. Fajardo tiene buenas propuestas, pero se enreda mucho <Emoji: Frowning face>#ElPaísDeLosJóvenes",3,0,5,,['#ElPaísDeLosJóvenes'],https://twitter.com/espitiajdavid/status/984653732548874240/
984653728169984000,2018-04-12,04:45:17,GMT,125129992,SaloBlanco,Me dan ganas de ser joven nuevamente para  vivir #ElPaisDeLosJovenes de @sergio_fajardo #SePuede,0,0,4,,"['#ElPaisDeLosJovenes', '#SePuede']",https://twitter.com/SaloBlanco/status/984653728169984000/
984653724240007169,2018-04-12,04:45:16,GMT,271169830,iipenagos,"#ElPaísDeLosJóvenes Decir que Duque (Uribe) y Lleras rodeados de todos esos politequeros de siempre, van a luchar contra la corrupción, equivale a decir, que senado dará aval a consulta anticorrupción. @ClaudiaLopez @sergio_fajardo",0,0,2,,['#ElPaísDeLosJóvenes'],https://twitter.com/iipenagos/status/984653724240007169/
984653678975086592,2018-04-12,04:45:05,GMT,251440014,gonzalezcamilo1,"#ElPaisDeLosJovenes @sergio_fajardo a diferencia de @IvanDuque  y @German_Vargas no se incomoda con abucheos, eso es madurez. Siempre dispuesto a escuchar las opiniones del otro. #SePuede",0,2,4,,"['#ElPaisDeLosJovenes', '#SePuede']",https://twitter.com/gonzalezcamilo1/status/984653678975086592/
984653640349683712,2018-04-12,04:44:56,GMT,909983578808864768,Compromiso_Ant,#ElPaísDeLosJóvenes hoy con @sergio_fajardo: un profe compartiendo su conocimiento y experiencia con humanidad. ¡Fue una clase de esas en las que las lecciones son para toda la vida! #FajardoPresidente #LaFuerzaDeLaEsperanza,0,8,11,,"['#ElPaísDeLosJóvenes', '#FajardoPresidente', '#LaFuerzaDeLaEsperanza']",https://twitter.com/Compromiso_Ant/status/984653640349683712/
984653638550347776,2018-04-12,04:44:56,GMT,326951097,Juanchovelez123,"Con razón #petro no asistió al debate #elpaisdelosjovenes caracol, pues sus pilaresEran el respeto y la preparación, y petro, ninguna de las anteriores <Emoji: Thinking face>",0,0,2,,"['#petro', '#elpaisdelosjovenes']",https://twitter.com/Juanchovelez123/status/984653638550347776/
984653627380912129,2018-04-12,04:44:53,GMT,102683575,IngNenati,"Queda demostrado lo aterrorizadas q tiene las propuestas @sergio_fajardo, sin evadir respuestas sin nombrar a nadie más q los proyectos #SePuede #ElPaísDeLosJóvenes",0,2,6,,"['#SePuede', '#ElPaísDeLosJóvenes']",https://twitter.com/IngNenati/status/984653627380912129/
984653621047459842,2018-04-12,04:44:51,GMT,80504011,JuanJOliveros,"@SolracParamo No creas que es imposible; en este país hay políticos especializados en incumplir acuerdos. @sergio_fajardo acata lo pactado, ¿los demás candidatos también? #JóvenesConFajardo #ElPaísDeLosJóvenes #FajardoPresidente",1,0,1,,"['#JóvenesConFajardo', '#ElPaísDeLosJóvenes', '#FajardoPresidente']",https://twitter.com/JuanJOliveros/status/984653621047459842/
984653610867970049,2018-04-12,04:44:49,GMT,1319546762,DiegoCpJ,Estoy seguro de que mi voto está en buenas manos. #ElPaisDeLosJovenes#FajardoPresidente,0,0,7,,"['#ElPaisDeLosJovenes', '#FajardoPresidente']",https://twitter.com/DiegoCpJ/status/984653610867970049/
984653568333492224,2018-04-12,04:44:39,GMT,868867289113911297,Maria40467533,"#ElPaisDeLosJovenes pudimos ver un cambio en las preguntas que les realizaron a Humberto de la Calle y Sergio Fajardo,tocando temas realmente importantes con personas que realmente han sentido el dolor y viven el problema social.",0,3,7,,['#ElPaisDeLosJovenes'],https://twitter.com/Maria40467533/status/984653568333492224/
984653530001805313,2018-04-12,04:44:30,GMT,407325625,andreajara87,"Ahí está el tibio de #Fajardo centrado, bien argumentado, sin afanes, sin extremos y con propuestas de verdad #ElPaísDeLosJóvenes#FajardoPresidente",0,1,5,,"['#Fajardo', '#ElPaísDeLosJóvenes', '#FajardoPresidente']",https://twitter.com/andreajara87/status/984653530001805313/
984653452558118912,2018-04-12,04:44:11,GMT,55972708,tebanvm,#ElPaisDeLosJovenes #FajardoPresidente  ¡Ese es! https://twitter.com/andreszapata99/status/984639361835814912 …,0,1,3,,"['#ElPaisDeLosJovenes', '#FajardoPresidente']",https://twitter.com/tebanvm/status/984653452558118912/
984653429107843074,2018-04-12,04:44:06,GMT,584360693,SAN_OCAM,"#ElPaísDeLosJóvenes yo no sé porque la gente se fía tanto de la experiencia política, todos los anteriores presidentes han estado invadidos de política y han perjudicado al país, porque no darle la oportunidad a un maestro matemático que dio resultados en Antioquía",0,0,2,,['#ElPaísDeLosJóvenes'],https://twitter.com/SAN_OCAM/status/984653429107843074/
984653404260708352,2018-04-12,04:44:00,GMT,622082899,BluRadioCo,.@sergio_fajardo pasó al ‘paredón’ y respondió a las inquietudes de los jóvenes del país  http://bit.ly/2IQ6xbl  #ElPaísDeLosJóvenes  No se pierda el análisis esta noche de #Altavoz con @Nicolasdiazc pic.twitter.com/KfHv3I2Z37,3,16,58,,"['#ElPaísDeLosJóvenes', '#Altavoz']",https://twitter.com/BluRadioCo/status/984653404260708352/
984653346756857856,2018-04-12,04:43:46,GMT,984644999030636544,LinaLMPNPacheco,"@sergio_fajardo #elpaisdelosjovenes como va a incentivar la inversión extranjera en nuestro país, Propongo gravar absolutamente todo con un IVA del 2% de este modo, crece la inversión extranjera y nacional, la economía del país crecería casi que de inmediato y la evasión disminuye en un 90%",0,1,1,,['#elpaisdelosjovenes'],https://twitter.com/LinaLMPNPacheco/status/984653346756857856/
984653326255091713,2018-04-12,04:43:41,GMT,733695599065890816,proferasputon,¿Como se llama ese sentimiento cuando uno ve que Borat va a hacerle algo a alguien? Eso sentí viendo a Duque o Vargas Lleras #ElPaisDeLosJovenes,0,0,1,,['#ElPaisDeLosJovenes'],https://twitter.com/proferasputon/status/984653326255091713/
984653263696990213,2018-04-12,04:43:26,GMT,65480395,Ed_arry,#ElPaisDeLosJovenes (¿sin memoria de corto plazo?)  https://twitter.com/Ed_arry/status/984651036987097088 …,0,2,1,,['#ElPaisDeLosJovenes'],https://twitter.com/Ed_arry/status/984653263696990213/
984653249960644608,2018-04-12,04:43:23,GMT,227484573,AlexandeRojasA,"#ElPaisDeLosJovenes es en el que se diga FUERTEMENTE QUE #ConEducaciónSePuede <Emoji: Ballot box with ballot><Emoji: Flag of Colombia><Emoji: Green heart><Emoji: Raised hand with fingers splayed>! Educación, educación y EDUCACIÓN, así se transformará la #Colombia actual en pro a su Reconciliación. Los jóvenes de la #UPB #Bucaramanga #FajardoPresidente @sergio_fajardo @ClaudiaLopez <Emoji: Green heart>. pic.twitter.com/uuQEqLTEFg",2,72,203,,"['#ElPaisDeLosJovenes', '#ConEducaciónSePuede', '#Colombia', '#UPB', '#Bucaramanga', '#FajardoPresidente']",https://twitter.com/AlexandeRojasA/status/984653249960644608/
984653248224202752,2018-04-12,04:43:23,GMT,729525950,Inhospitomundo,"Sergio Fajardo le dice NO al fracking, le apuesta a la riqueza ambiental a través de biotecnología, ecoturismo, desarrollo agroindustrial, energías renovables, ciudades sostenibles, economía digital y creación de cultura. #ElPaísDeLosJóvenes",0,0,3,,['#ElPaísDeLosJóvenes'],https://twitter.com/Inhospitomundo/status/984653248224202752/
984653193979351041,2018-04-12,04:43:10,GMT,1007530076,EdinsonDP,"@NoticiasCaracol @DaNielFrEnAndO Qué pena que muchos no se tomen el tiempo analizar porque no somos el país que queremos, y que podemos desarrollar, Educación,0 corrupción #SePuede #ElPaísDeLosJóvenes @sergio_fajardo Presidente",0,0,1,,"['#SePuede', '#ElPaísDeLosJóvenes']",https://twitter.com/EdinsonDP/status/984653193979351041/
984653137326862337,2018-04-12,04:42:56,GMT,1319386008,santiialvxl,"Entre Humberto DeLa Street y Fajardo la verdad si se hubieran unido, UFFFFFF sostente <Emoji: Pig> y Don Coscorrones Que alguno de los dos Ganarán y llegarán a segunda VueltaPero Fajardo con Claudia López tienen una buena y fuerte Alianza#ElPaisDeLosJovenes",0,0,5,,['#ElPaisDeLosJovenes'],https://twitter.com/santiialvxl/status/984653137326862337/
984653130209034240,2018-04-12,04:42:54,GMT,586910376,RafaelAriasG,"Sin duda alguna Sergio Fajardo es la mejor opción, tiene grandes planes para generar los cambios que tanto necesita el país. No botemos el voto, pensemos en el futuro de Colombia.#FajardoPresidente#ElPaísDeLosJóvenes#ElEquipo",0,0,6,,"['#FajardoPresidente', '#ElPaísDeLosJóvenes', '#ElEquipo']",https://twitter.com/RafaelAriasG/status/984653130209034240/
984653127591874561,2018-04-12,04:42:54,GMT,81452374,JohnArango27,Entonces ya hoy se acabó #ElPaísDeLosJóvenes ?? @JuanDiegoAlvira @JuanCMerlano @MAVILLAMZAR @NoticiasCaracol,0,0,0,,['#ElPaísDeLosJóvenes'],https://twitter.com/JohnArango27/status/984653127591874561/
984653119102640138,2018-04-12,04:42:52,GMT,4474533273,Bustaman1Fabien,Escuchar a @sergio_fajardo es recordar a todos aquellos profesores que se esforzaron por enseñarte y que hoy tienes como referentes intelectuales. Quiero que mi presidente sea un profesor y no un político... #sepuede #elpaísdelosjóvenes,0,4,11,,"['#sepuede', '#elpaísdelosjóvenes']",https://twitter.com/Bustaman1Fabien/status/984653119102640138/
984653078208176128,2018-04-12,04:42:42,GMT,2360217992,xmountainboys,"Si @sergio_fajardo habla de una unión como sociedad para combatir los problemas del país propondria yo que se uniera con @DeLaCalleHum y @petrogustavo para luchar contra aquellos que nos estan acabando la nación , no creen ? #ElPaisDeLosJóvenes",1,0,0,,['#ElPaisDeLosJóvenes'],https://twitter.com/xmountainboys/status/984653078208176128/
984653030023991296,2018-04-12,04:42:30,GMT,80599866,diogenesrosero,"Sin duda Fajardo tiene una simpatia especial con los jovenes, el énfasis de su campaña en la educación y corrupción le ayudan. Más alla de eso en #ElPaísDeLosJóvenes le falto concretar mejor sus ideas e interactuar mejor con los pelaos, pasa raspando.",0,0,0,,['#ElPaísDeLosJóvenes'],https://twitter.com/diogenesrosero/status/984653030023991296/
984653003092357120,2018-04-12,04:42:24,GMT,412406848,_GuillermoE,"@RobynsonJ @Chirivi_ Es que le gusta que le hagan promesas irrealizables, en #ElPaisDeLosJovenes Fajardo hablo con mesura, ya que cualquiera podría decir que va dar educación gratuita especialista y doctorados, si fuera realizable con la condiciones economicas de colombia ¿quien no lo haria ?",0,0,1,,['#ElPaisDeLosJovenes'],https://twitter.com/_GuillermoE/status/984653003092357120/
984652973166026752,2018-04-12,04:42:17,GMT,751568908071632896,Erospi1314,#ElPaisDeLosJovenes bonito programa de política pagada.Unas pregunticas para su candidato fajardo porque tiene embargos por corrupción ?Sabe cuánto debe invertir solo en investigación para competir con multinacionales farmacéuticas?En concreto como industrializara el agro?,0,0,0,,['#ElPaisDeLosJovenes'],https://twitter.com/Erospi1314/status/984652973166026752/
984652951208808448,2018-04-12,04:42:12,GMT,358518705,LuisaMartinez45,"#ElPaisDeLosJovenes Sin prometer más allá de lo que se puede cumplir, sin populismo, hablando claro y en línea con la realidad de nuestro país. El 27 de mayo yo voto por @sergio_fajardo #ElProfePresidente #FajardoPresidente",0,4,11,,"['#ElPaisDeLosJovenes', '#ElProfePresidente', '#FajardoPresidente']",https://twitter.com/LuisaMartinez45/status/984652951208808448/
984652924809830403,2018-04-12,04:42:05,GMT,970545638,milson793,"No lo sé amigos pero en mi opinión es el candidato que mejor ha respondido en todas las áreas, @fajardopresi #ElPaísDeLosJóvenes",0,1,4,,['#ElPaísDeLosJóvenes'],https://twitter.com/milson793/status/984652924809830403/
984652912906268672,2018-04-12,04:42:03,GMT,268773511,cedielmarin,"#ElPaísDeLosJóvenesSobre el uso recreativo y medicinal de la marihuana, lo 1ro es respetar los pronunciamientos de la @CConstitucional 2do un enfoque de salud pública para tratar a los adictos y 3ro combatir el microtrafico y narcotráfico. @sergio_fajardo",0,7,4,,['#ElPaísDeLosJóvenesSobre'],https://twitter.com/cedielmarin/status/984652912906268672/
984652909886476289,2018-04-12,04:42:02,GMT,361548766,JuanH_96,Los jóvenes estaremos felices y llenos de esperanza de construir un mejor país el 7 de agosto cuando @petrogustavo al final de su discurso diga: Me llamo Gustavo Petro y soy su presidente. <Emoji: Flag of Colombia><Emoji: Handshake> #ColombiaHumana #ElPaisDeLosJovenes,0,1,1,,"['#ColombiaHumana', '#ElPaisDeLosJovenes']",https://twitter.com/JuanH_96/status/984652909886476289/
984652873853267969,2018-04-12,04:41:53,GMT,1202588352,FRANCIAJIMNEZ,La integralidad de las propuestas de @sergio_fajardo en estas 7 áreas como eje del desarrollo en #ElPaisDeLosJovenes de lo mejor que ha pasado por el.programa #colombiadecide #sepuede somos #LaFuerzaDeLaEsperanza https://twitter.com/compromisociu/status/984650142371500034 …,0,2,7,,"['#ElPaisDeLosJovenes', '#colombiadecide', '#sepuede', '#LaFuerzaDeLaEsperanza']",https://twitter.com/FRANCIAJIMNEZ/status/984652873853267969/
984652782652350464,2018-04-12,04:41:32,GMT,133155440,WaltPalaciosM,Fajardo es un buen catedratico. Pero en política y más en los debates hay que ser más concreto en las respuestas. Así tendrá la oportunidad de expresar más cosas. #ElPaísDeLosJóvenes,0,0,1,,['#ElPaísDeLosJóvenes'],https://twitter.com/WaltPalaciosM/status/984652782652350464/
984652775496781824,2018-04-12,04:41:30,GMT,2882125389,laura_alvr,"#ElPaísDeLosJóvenes Yo siento que hay una GRAN diferencia de opiniones entre jóvenes y adultos.Los adultos ya han sido manipulados durante años, por eso sus críticas son arcaicas. Mientras que los jóvenes buscan verdades. Lastima que se queden sólo en palabras y no en acciones.",0,0,4,,['#ElPaísDeLosJóvenes'],https://twitter.com/laura_alvr/status/984652775496781824/
984652773038882816,2018-04-12,04:41:29,GMT,259728324,Kingdany01,Me voy a dormir con lagrimas en mis ojos pero de la felicidad porque tengo fe #FajardoPresidente  yo votare por el pero tambien hay mas opciones como @DeLaCalleHum y @petrogustavo . quiero un mejor país #ElPaísDeLosJóvenes,0,0,6,,"['#FajardoPresidente', '#ElPaísDeLosJóvenes']",https://twitter.com/Kingdany01/status/984652773038882816/
984652713601458179,2018-04-12,04:41:15,GMT,950793160137019392,carolinapig05,La educacion de calidad debe llegar a cada rincon del pais y debe llegar  aun con mas intensidad a las zonas mas golpeadas por la violencia para que vean que existe otro camino  #ElPaisDeLosJovenes,0,3,6,,['#ElPaisDeLosJovenes'],https://twitter.com/carolinapig05/status/984652713601458179/
984652709503619072,2018-04-12,04:41:14,GMT,622082899,BluRadioCo,No se pierda este jueves en #Altavoz el análisis de @Nicolasdiazc sobre la participación de @sergio_fajardo en #ElPaísDeLosJóvenes  http://bit.ly/BluEnVivo ,1,2,2,,"['#Altavoz', '#ElPaísDeLosJóvenes']",https://twitter.com/BluRadioCo/status/984652709503619072/
984652703040196608,2018-04-12,04:41:13,GMT,508330007,La_Laurita19,"#ElPaísDeLosJóvenes Así empezó en la política @sergio_fajardo en la calle, con la gente, sin mentiras, sin populismo, con ganas y amor vamos a lograr la presidencia #SePuedeProfe pic.twitter.com/FzqRw9Nfqo",0,10,30,,"['#ElPaísDeLosJóvenes', '#SePuedeProfe']",https://twitter.com/La_Laurita19/status/984652703040196608/
984652648426156033,2018-04-12,04:41:00,GMT,398956810,JohnJairoNova,Definitivamente este formato acercó a los candidatos al pueblo.  #ElPaísDeLosJóvenes,0,0,2,,['#ElPaísDeLosJóvenes'],https://twitter.com/JohnJairoNova/status/984652648426156033/
984652644919709696,2018-04-12,04:40:59,GMT,321136926,mauromartinez96,"Sin duda Fajardo es un buen aspirante a la presidencia. Pero sus propuestas van mucho a ideas, pero no a números. Legalizar, prometer, cambiar, implementar. Pero no toco el tema de presupuesto, y menos de donde proviene. LOS IMPUESTOS #ElPaísDeLosJóvenes",0,0,0,,['#ElPaísDeLosJóvenes'],https://twitter.com/mauromartinez96/status/984652644919709696/
984652609536524288,2018-04-12,04:40:50,GMT,733695599065890816,proferasputon,Nace una estrella de twitter #ElPaisDeLosJovenes  https://twitter.com/MariaFerArteaga/status/984651556913139712 …,0,3,5,,['#ElPaisDeLosJovenes'],https://twitter.com/proferasputon/status/984652609536524288/
984652583410298880,2018-04-12,04:40:44,GMT,4823029023,Eme17H,No se ustedes pero hoy después de escuchar a @sergio_fajardo  siento una tranquilidad y una satisfacción  muy grata para irme a dormir... #ElPaisDeLosJovenes #ElPaisDeLosJovenes #ElPaisDeLosJovenes #ColombiaDecide #ElPaisDeLosJovenes,0,6,15,,"['#ElPaisDeLosJovenes', '#ElPaisDeLosJovenes', '#ElPaisDeLosJovenes', '#ColombiaDecide', '#ElPaisDeLosJovenes']",https://twitter.com/Eme17H/status/984652583410298880/
984652568730259456,2018-04-12,04:40:41,GMT,98928593,YeralLuengas,"Creo que @DeLaCalleHum y @sergio_fajardo deberían fusionarse como Goku y Vegueta, sería lo MÁS! así como un #SergioDeLaCalle #ElPaísDeLosJóvenes",0,0,3,,"['#SergioDeLaCalle', '#ElPaísDeLosJóvenes']",https://twitter.com/YeralLuengas/status/984652568730259456/
984652541668528128,2018-04-12,04:40:34,GMT,290736402,naysebs,quiero a Petro en el debate #ElPaísDeLosJóvenes @NoticiasCaracol,1,2,1,,['#ElPaísDeLosJóvenes'],https://twitter.com/naysebs/status/984652541668528128/
984652514439114753,2018-04-12,04:40:28,GMT,412406848,_GuillermoE,"@lorenatorresro @Chirivi_ #ElPaisDeLosJovenes Fajardo no es buen político, es un buen administrador y es lo que necesitamos, a los habladores, a los charlatanes, a los que prometen sin tener en cuenta la realidad economica del país, a esos hay que tenerles desconfianza",0,1,13,,['#ElPaisDeLosJovenes'],https://twitter.com/_GuillermoE/status/984652514439114753/
984652509154365440,2018-04-12,04:40:26,GMT,256695907,mandepolo,"#ElPaísDeLosJóvenes prefiero que nos gobierne un profesor que ha tenido en sus manos libros, a un ex guerrillero que tuvo armas para lastimar a la Ciudadanía. @sergio_fajardo #FajardoPresidente",0,2,5,,"['#ElPaísDeLosJóvenes', '#FajardoPresidente']",https://twitter.com/mandepolo/status/984652509154365440/
984652422374199296,2018-04-12,04:40:06,GMT,2423873139,ArrobaKen,#ElPaisDeLosJovenes Escuchando a Fajardo a sido el único que se me fue el tiempo volando y quedé con ganas de seguir escuchando sus propuestas <Emoji: Pensive face>,1,11,59,,['#ElPaisDeLosJovenes'],https://twitter.com/ArrobaKen/status/984652422374199296/
984652392359759872,2018-04-12,04:39:58,GMT,191358132,jotaedinson,"Retweeted Noticias Caracol (@NoticiasCaracol):Conozca a los cuatro jóvenes que este jueves cuestionarán al candidato @sergio_fajardo en el especial #ElPaísDeLosJóvenes, de @NoticiasCaracol >>>  http://noticiascaracol.com  #ColombiaDecide pic.twitter.com/Bm2QEytrfF",0,0,0,,"['#ElPaísDeLosJóvenes', '#ColombiaDecide']",https://twitter.com/jotaedinson/status/984652392359759872/
984652389734023169,2018-04-12,04:39:58,GMT,53071966,JuanSLopezM,"@Diannakmila @jimenatoledo @alduque @erijozata @DINAMIRANDA5 @tativasquezr @JuanpLeonn @ICHELUBO @SergioFajardo @pineda0ruiz @NDanielGarciaCo Fajardo no es hipócrita. Dice lo que piensa, tiene carácter. Sabe escuchar con respeto y también sabe disentir con respeto. Convoca y no divide. Lidera sin creerse indispensable. Es el Presidente que Colombia necesita. #FajardoPresidente #ElPaísDeLosJóvenes",0,16,26,,"['#FajardoPresidente', '#ElPaísDeLosJóvenes']",https://twitter.com/JuanSLopezM/status/984652389734023169/
984652388937105414,2018-04-12,04:39:58,GMT,33404571,hannia2629,"Excelente respuesta. Estos formatos le favorecen mucho, punto para @sergio_fajardo #ElPaísDeLosJóvenes  https://twitter.com/asampayo/status/984650473486585856 …",0,1,7,,['#ElPaísDeLosJóvenes'],https://twitter.com/hannia2629/status/984652388937105414/
984652351540736000,2018-04-12,04:39:49,GMT,2820216262,WhateverNY,Que lástima que existan personas así apoyando @petrogustavo <Emoji: Cross mark>Con @sergio_fajardo  SE PUEDE con transparencia y sobre todo esperanza <Emoji: Green heart><Emoji: Green heart><Emoji: Green heart><Emoji: Green heart>#ElPaisDeLosJovenes #SePuede @compromisociu #Elecciones2018 pic.twitter.com/bodnnR34Q3,4,3,6,,"['#ElPaisDeLosJovenes', '#SePuede', '#Elecciones2018']",https://twitter.com/WhateverNY/status/984652351540736000/
984652350257270786,2018-04-12,04:39:48,GMT,328239202,Epalacior,#ElPaisDeLosJovenes @sergio_fajardo sería un buen Ministro de Educación. @NoticiasCaracol,1,0,0,,['#ElPaisDeLosJovenes'],https://twitter.com/Epalacior/status/984652350257270786/
