"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8977","2018-04-05","16:38:43","Hora est. Pacífico, Sudamérica","Va a llorar Duque, es que ese palo que le dieron todos es muy verraco, jajaja, se lo buscó. #DebateCaribe","0","5","2","#DebateCaribe"
"8978","2018-04-05","16:38:42","Hora est. Pacífico, Sudamérica","Las cagaron señores las cagaron @petrogustavo @sergio_fajardo @DeLaCalleHum y en especial @German_Vargas y teniendo con que joderlo a @IvanDuque se los comió uno a uno en el último segmento de preguntas con opcion de replica perdieron una buena oportunidad #DebateCaribe","0","0","1","#DebateCaribe"
"8979","2018-04-05","16:38:41","Hora est. Pacífico, Sudamérica","#DebateCaribe cada vez que habla Duque siento que va a salir con algo tipo ""hombre con hombre, mujer con mujer...""","0","0","1","#DebateCaribe"
"8980","2018-04-05","16:38:41","Hora est. Pacífico, Sudamérica","Yo cuando escucho a @DeLaCalleHum me dan como ganas de que me de clase. Dónde hay que inscribir la clase. #DebateCaribe","0","0","0","#DebateCaribe"
"8981","2018-04-05","16:38:41","Hora est. Pacífico, Sudamérica","Resumen del #DebateCaribe:TELECARIBE 1 - TELEANTIOQUIA 0","2","3","23","#DebateCaribe"
"8982","2018-04-05","16:38:41","Hora est. Pacífico, Sudamérica","Tema del #DebateCaribe La generación de Energía con Fuentes No Convencionales, está en la ruta del Desarrollo de los próximos años, por aumento de la Demanda y por agotamiento de los combustibles de origen fósil.  https://twitter.com/LuchoDiaz12/status/942108235879903232 …","0","2","2","#DebateCaribe"
"8983","2018-04-05","16:38:41","Hora est. Pacífico, Sudamérica","El ganador del #DebateCaribe se llama @DeLaCalleHum","0","0","2","#DebateCaribe"
"8984","2018-04-05","16:38:40","Hora est. Pacífico, Sudamérica","Qué va, te falta SAL!!!!!!!!!!!!!!!! Iván Duque, de Caribe no tienes nada. #DebateCaribe","0","0","3","#DebateCaribe"
"8985","2018-04-05","16:38:39","Hora est. Pacífico, Sudamérica","@elheraldoco @CanalTelecaribe muchas gracias por el #DebateCaribe para que el Caribe elija bien, felicidades a todos los candidatos @petrogustavo @German_Vargas @IvanDuque @DeLaCalleHum por este debate con altura, con decencia.","0","0","0","#DebateCaribe"
"8986","2018-04-05","16:38:38","Hora est. Pacífico, Sudamérica","Duque muy evasivo con todo lo que le preguntaron, no respondió nada, pero por lo menos no dice como Alvarito: próxima pregunta, amigo #DebateCaribe","0","0","0","#DebateCaribe"
"8987","2018-04-05","16:38:38","Hora est. Pacífico, Sudamérica","Conclusión #DebateCaribe: @IvanDuque será nuestro próximos presidente - “al árbol que tiene frutos es al que le tiran piedras”. #DuqueEsElQueEs #MiViceEsMartaLucia #DuqueMiPresidente #DebateEnAntioquia #DuquePresidenteEnPrimeraVuelta #EleccionesColombia2018 pic.twitter.com/Y4XR1412qs","0","4","5","#DebateCaribe,#DuqueEsElQueEs,#MiViceEsMartaLucia,#DuqueMiPresidente,#DebateEnAntioquia,#DuquePresidenteEnPrimeraVuelta,#EleccionesColombia2018"
"8988","2018-04-05","16:38:37","Hora est. Pacífico, Sudamérica","@German_Vargas “@german_Vargas usted es el copiloto de un avión que va en picada y se durmió todo el vuelo”: @IvanDuque Ooopsss <Emoji: Eyes><Emoji: Eyes> #DebateCaribe #DuqueConElCaribe pic.twitter.com/pW1hj2uscz","6","80","78","#DebateCaribe,#DuqueConElCaribe"
"8989","2018-04-05","16:38:37","Hora est. Pacífico, Sudamérica","Y ese pasado santista de @IvanDuque ¿lo sabían los uribistas? #DebateCaribe","0","0","0","#DebateCaribe"
