id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link,retweet,user_rt
1000541224942567425,2018-05-26,19:56:31,-05,939929911170600963,Alvaro_S35,Hay que ser claros y firmes contra el crimen organizado #DuqueEsElQueEs #DuquePresidente #ColombianosEnElExterior #ColombiaDecide #Elecciones2018 pic.twitter.com/ZQAd9fKCLs,0,,1,,"['#DuqueEsElQueEs', '#DuquePresidente', '#ColombianosEnElExterior', '#ColombiaDecide', '#Elecciones2018']",https://twitter.com/Alvaro_S35/status/1000541224942567425,False,
1000540988048400384,2018-05-26,19:55:35,-05,877701042858860545,Fabiankprr025,#MeDecidíPorPetro porque el será el cambio para Colombia! @petrogustavo la juventud con usted. <Emoji: Flag of Colombia><Emoji: Ok hand sign> Mañana ¡ganaremos! #ColombiaDecide #PetroenPrimera,0,,2,,"['#MeDecidíPorPetro', '#ColombiaDecide', '#PetroenPrimera']",https://twitter.com/Fabiankprr025/status/1000540988048400384,False,
1000540875196428289,2018-05-26,19:55:08,-05,200744439,mmvallejom,#ColombiaDecide lo único que tengo claro es que mi voto NO es por #Petro,0,,0,,"['#ColombiaDecide', '#Petro']",https://twitter.com/mmvallejom/status/1000540875196428289,False,
1000540834213826561,2018-05-26,19:54:58,-05,544622144,bondanito,"En mi caso nunca había sentido que un candidato presidencial fuese posibilidad real de transformar Colombia, por eso #MeDecidíPorPetro #ColombiaDecide  https://twitter.com/angelamrobledo/status/1000442415788982272 …",0,,3,,"['#MeDecidíPorPetro', '#ColombiaDecide']",https://twitter.com/bondanito/status/1000540834213826561,False,
1000540771907522560,2018-05-26,19:54:43,-05,4853185695,secretariagob,#InformacionDeInteres sobre las medidas que adopta la @SantaMartaDTCH para las Elecciones Presidenciales 2018 #Colombiadecide #EleccionesPresidenciales2018 #SantaMartaSigueCambiando pic.twitter.com/IE1gZnqFBM,0,,1,,"['#InformacionDeInteres', '#Colombiadecide', '#EleccionesPresidenciales2018', '#SantaMartaSigueCambiando']",https://twitter.com/secretariagob/status/1000540771907522560,False,
1000540524430884865,2018-05-26,19:53:44,-05,4605843977,OldRocker65,#ColombiaDecide #MaduroUsurpador #TibisayLucena pic.twitter.com/iKhBiEJOje,0,,0,,"['#ColombiaDecide', '#MaduroUsurpador', '#TibisayLucena']",https://twitter.com/OldRocker65/status/1000540524430884865,False,
1000540502205313024,2018-05-26,19:53:39,-05,603942850,JoseDanielCR04,"Mañana #Colombia tiene una gran oportunidad, y es votar por @IvanDuque y @mluciaramirez, no la pierdan, véanse en el espejo de nosotros los venezolanos, no le hagan el daño a su país votando por petro. #ColombiaDecide  pic.twitter.com/ez6h2JKARF",0,,0,,"['#Colombia', '#ColombiaDecide']",https://twitter.com/JoseDanielCR04/status/1000540502205313024,False,
1000540456416088065,2018-05-26,19:53:28,-05,115198699,AlejandroSBasso,Se habla mucho hoy de @sergio_fajardo avanzando hacia la segunda vuelta en lugar de @petrogustavo en #Colombia. #ConFajardoEnLaPrimera Ha tomado mucha más fuerza entre las tendencias que el resto. ¿Sorpresa Mañana? #ColombiaDecide,0,,2,,"['#Colombia', '#ConFajardoEnLaPrimera', '#ColombiaDecide']",https://twitter.com/AlejandroSBasso/status/1000540456416088065,False,
1000540446102315010,2018-05-26,19:53:26,-05,4406287341,edisonburbanoCM,#ColombiaDecide#Elecciones2018 https://twitter.com/pressenza/status/1000538072209965056 …,0,,0,,"['#ColombiaDecide', '#Elecciones2018']",https://twitter.com/edisonburbanoCM/status/1000540446102315010,False,
1000540352678424576,2018-05-26,19:53:03,-05,36850398,castrillon_john,"Mañana Colombia pasará a manos de un testaferro, que emoción!! #ColombiaDecide #EleccionesColombia @actualidadpanam @mesadecentro https://www.nytimes.com/2018/05/25/world/americas/colombia-uribe-drugs.html …",0,,2,,"['#ColombiaDecide', '#EleccionesColombia']",https://twitter.com/castrillon_john/status/1000540352678424576,False,
